pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_age,sy_dist,sy_pnum
"TOI-139 b","TOI-139","Transit",2023,11.07085000000,,2.45660000,,,561.17,,,,4570.00,0.700700,0.690000,,42.40610000,1
"TOI-1452 b","TOI-1452","Transit",2022,11.06201000000,0.0610000000,1.67200000,4.82000000,5.600000,326.00,1.8000,0.000000,"M4 +/- 0.5 V",3185.00,0.275000,0.249000,,30.52120000,1
"TOI-1728 b","TOI-1728","Transit",2020,3.49151000000,0.0391000000,5.05000000,26.78000000,1.140000,767.00,57.7800,0.057000,"M0",3980.00,0.624300,0.646000,7.1000,60.79800000,1
"TOI-1749 b","TOI-1749","Transit",2021,2.38839000000,0.0291000000,1.39000000,57.00000000,,831.00,,0.140000,"M0 V",3985.00,0.550000,0.580000,0.8000,99.55610000,3
"TOI-1789 b","TOI-1789","Transit",2021,3.20866400000,0.0488200000,16.14093221,222.47988490,0.280000,1927.00,2300.0000,,"F",5991.00,2.168000,1.507000,2.7300,229.06700000,1
"TOI-1836 b","TOI-1836","Transit",2024,20.38079900000,0.1597000000,8.00321222,38.45723725,0.410000,966.00,,0.000000,,6380.00,1.577000,1.307000,6.6000,191.64900000,2
"TOI-1898 b","TOI-1898","Transit",2024,45.52234000000,0.2690000000,9.39553231,129.00000000,0.850000,674.54,,0.485000,,6241.00,1.613100,1.248400,3.1000,79.66820000,1
"TOI-2015 c","TOI-2015","Transit Timing Variations",2025,5.58279600000,0.0412320000,,8.91000000,,448.00,6.6800,0.000330,"M4 +/- 0.5",3297.00,0.327300,0.304100,5.5000,47.34440000,2
"TOI-2096 b","TOI-2096","Transit",2023,3.11906330000,0.0250000000,1.24300000,,,445.00,9.4000,0.150000,"M4",3300.00,0.235000,0.231000,4.0000,48.48090000,2
"TOI-2109 b","TOI-2109","Transit",2021,0.67247414000,0.0179100000,15.09849700,1595.49860314,,3646.00,,,"F",6540.00,1.698000,1.453000,1.7700,262.04100000,1
"TOI-237 c","TOI-237","Transit",2026,1.74486147000,0.0160000000,1.20600000,,,515.00,16.0000,,,3226.00,0.205600,0.169800,,38.07490000,2
"TOI-2411 b","TOI-2411","Transit",2022,0.78269420000,0.0144000000,1.68000000,,,1355.00,,,,4099.00,0.680000,0.650000,,59.53620000,1
"TOI-2443 b","TOI-2443","Transit",2023,15.66858000000,0.1050000000,2.36300000,4.80000000,2.000000,519.00,,0.301000,"K5 V",4375.00,0.631000,0.642000,7.5000,23.92580000,1
"TOI-2498 b","TOI-2498","Transit",2023,3.73825200000,0.0491000000,6.06000000,34.62000000,0.860000,1443.00,,0.089000,,5905.00,1.260000,1.120000,3.6000,275.26500000,1
"TOI-269 b","TOI-269","Transit",2021,3.69771040000,0.0345000000,2.77000000,8.80000000,2.280000,531.00,19.0000,0.425000,"M2 V",3514.00,0.398000,0.391700,,57.02250000,1
"TOI-3464 b","TOI-3464","Transit",2025,3.65155680000,0.0515000000,13.76462830,397.28550875,0.830000,1693.00,1370.0000,0.250000,,6370.00,1.560000,1.363000,2.1000,597.77400000,1
"TOI-3486 b","TOI-3486","Transit",2025,2.21778105000,0.0313800000,10.57006880,99.16246298,0.460000,1190.00,334.0000,0.078000,,4930.00,0.788000,0.837000,5.8000,154.71500000,1
"TOI-3593 b","TOI-3593","Transit",2025,3.82128670000,0.0481000000,11.02963701,565.73456446,2.310000,1170.00,308.0000,0.105000,,5550.00,0.918000,1.015000,1.8000,226.63000000,1
